rainfall,temp,soil_type,cultivation_method,fertilizer,yield,humidity,tree_name
2903.1,27,Đất phù sa,Truyền thống,Hữu cơ,2570,57,Dừa
2903.1,27,Đất phù sa,Truyền thống,Hữu cơ,27170,57.5,Dừa
2903.1,27,Đất phù sa,Truyền thống,Hữu cơ,114744,57,Dừa
2996.6,27,Đất phù sa,Truyền thống,Hữu cơ,1402,55,Dừa
2996.6,27,Đất phù sa,Truyền thống,Hữu cơ,23456,56,Dừa
2996.6,27,Đất phù sa,Truyền thống,Hữu cơ,107809,54,Dừa
3522.8,27.2,Đất phù sa,Truyền thống,Hữu cơ,1132,58,Dừa
3522.8,27.2,Đất phù sa,Truyền thống,Hữu cơ,23960,58,Dừa
3522.8,27.2,Đất phù sa,Truyền thống,Hữu cơ,126487,59,Dừa
3729.8,27,Đất phù sa,Truyền thống,Hữu cơ,804,50,Dừa
3729.8,27,Đất phù sa,Truyền thống,Hữu cơ,30362,54,Dừa
3729.8,27,Đất phù sa,Truyền thống,Hữu cơ,124492,53,Dừa
2746.2,27,Đất phù sa,Truyền thống,Hữu cơ,792,52,Dừa
2746.2,27,Đất phù sa,Truyền thống,Hữu cơ,34153,51,Dừa
2746.2,27,Đất phù sa,Truyền thống,Hữu cơ,132551,57,Dừa
3360,27.2,Đất phù sa,Truyền thống,Hữu cơ,338,57,Dừa
3360,27.2,Đất phù sa,Truyền thống,Hữu cơ,22966,60,Dừa
3360,27.2,Đất phù sa,Truyền thống,Hữu cơ,131763,57,Dừa
3605.4,27.1,Đất phù sa,Truyền thống,Hữu cơ,404,57,Dừa
3605.4,27.1,Đất phù sa,Truyền thống,Hữu cơ,24184,54,Dừa
3605.4,27.1,Đất phù sa,Truyền thống,Hữu cơ,124387,54.5,Dừa
3512.4,26.8,Đất phù sa,Truyền thống,Hữu cơ,343,56.6,Dừa
3512.4,26.8,Đất phù sa,Truyền thống,Hữu cơ,23099,55.5,Dừa
3512.4,26.8,Đất phù sa,Truyền thống,Hữu cơ,117825.84,58.5,Dừa
3296,37,Đất phù sa,Truyền thống,Hữu cơ,336,59.5,Dừa
3296,37,Đất phù sa,Truyền thống,Hữu cơ,22594,55,Dừa
3296,37,Đất phù sa,Truyền thống,Hữu cơ,116481.07,53,Dừa
3550,38,Đất phù sa,Truyền thống,Hữu cơ,316,53.5,Dừa
3550,38,Đất phù sa,Truyền thống,Hữu cơ,21400,52.5,Dừa
3550,38,Đất phù sa,Truyền thống,Hữu cơ,122102,56,Dừa
3654,39,Đất phù sa,Truyền thống,Hữu cơ,382,57,Dừa
3654,39,Đất phù sa,Truyền thống,Hữu cơ,19578,57.5,Dừa
3654,39,Đất phù sa,Truyền thống,Hữu cơ,121037,57,Dừa
233,40,Đất phù sa,Truyền thống,Hữu cơ,231,55,Dừa
233,40,Đất phù sa,Truyền thống,Hữu cơ,18951,56,Dừa
233,40,Đất phù sa,Truyền thống,Hữu cơ,110579,54,Dừa
234,41,Đất phù sa,Truyền thống,Hữu cơ,221,58,Dừa
234,41,Đất phù sa,Truyền thống,Hữu cơ,15362,58,Dừa
234,41,Đất phù sa,Truyền thống,Hữu cơ,120373,59,Dừa
3105,42,Đất đỏ,Truyền thống,Hữu cơ,291,50,Dừa
3105,42,Đất đỏ,Truyền thống,Hữu cơ,17231,54,Dừa
3105,42,Đất đỏ,Truyền thống,Hữu cơ,119359,53,Dừa
236,43,Đất đỏ,Truyền thống,Hữu cơ,283,52,Dừa
236,43,Đất đỏ,Truyền thống,Hữu cơ,17690,51,Dừa
2903.1,27,Đất đỏ,Hữu cơ,Không sử dụng,7157,57,Dừa
2903.1,27,Đất đỏ,Hữu cơ,Không sử dụng,8700,57,Dừa
2903.1,27,Đất đỏ,Hữu cơ,Không sử dụng,41266,60,Dừa
2996.6,27,Đất đỏ,Hữu cơ,Không sử dụng,8838,57,Dừa
2996.6,27,Đất đỏ,Hữu cơ,Không sử dụng,8954,57,Dừa
